ID,AGE,INCOME,SEX,MARRIED,OWNHOME,LOC,CLIMATE,FICO>=700
206507407,37,26,F,0,0,B,20,0
122649435,50,64,M,1,0,H,30,0
792099997,50,40,F,1,0,F,20,1
424278033,42,16,F,1,0,C,10,0
135435833,35,47,M,1,1,B,20,1
161591181,69,40,M,1,0,H,30,0
570192677,45,76,M,0,0,F,20,0
030840721,44,36,F,1,0,F,20,0
365807614,60,34,M,1,1,A,10,1
588331530,58,46,M,0,0,D,10,0
079552646,35,51,F,0,1,D,10,1
448316404,42,23,M,0,0,A,10,0
754071050,45,31,M,1,1,E,20,0
013194436,36,45,F,0,0,F,20,0
472170764,52,59,F,1,1,F,20,1
435304625,43,40,F,1,1,B,20,1
008448078,47,60,M,0,1,F,20,1
257092448,25,93,F,1,1,D,10,1
387813084,50,60,M,1,1,F,20,1
330173391,51,60,F,1,1,E,20,1
548742431,40,35,M,1,0,G,30,0
343035869,48,35,F,1,1,B,20,1
325826909,38,32,F,0,0,E,20,0
225066154,42,16,F,1,0,A,10,0
642402210,39,50,F,0,1,A,10,1
668887177,64,30,F,0,0,B,20,0
531277290,56,43,F,1,1,B,20,1
768508820,39,35,F,0,0,E,20,0
810016022,34,40,F,0,0,B,20,0
282034027,25,63,M,0,0,C,10,0
286221501,51,53,M,1,0,G,30,0
184039207,30,69,F,1,1,E,20,1
217488506,51,41,F,1,1,C,10,0
291663686,60,65,M,0,0,G,30,0
572383728,58,49,F,0,0,G,30,0
887253062,47,55,F,0,0,G,30,0
151429727,46,17,F,1,0,B,20,1
741850115,41,60,M,1,0,B,20,1
801769985,50,61,M,0,1,F,20,0
070909880,45,35,F,0,0,A,10,1
962161062,63,35,M,0,1,B,20,1
861559825,52,62,F,0,1,F,20,0
533637283,39,35,M,1,1,E,20,1
350943360,55,36,F,1,1,E,20,1
116768307,55,56,M,0,1,E,20,0
593774858,37,38,M,0,0,C,10,0
732146439,47,64,M,1,1,E,20,1
788708754,42,20,M,1,0,H,30,1
962576033,46,46,M,1,0,E,20,0
040306704,35,60,F,0,1,F,20,1
925326679,40,33,M,1,0,B,20,0
709225274,39,19,M,0,1,E,20,0
915245430,64,17,F,1,0,C,10,0
801097758,59,21,F,1,0,D,10,0
180976328,51,25,M,1,0,F,20,0
176236521,30,54,M,0,0,C,10,0
510972670,31,62,M,0,1,A,10,0
109941770,55,56,M,1,1,F,20,1
840662768,32,38,F,0,1,C,10,0
235095750,39,72,M,0,0,A,10,1
151717314,44,59,M,1,1,E,20,1
314073589,19,17,F,0,0,D,10,0
986948264,44,37,F,0,0,C,10,0
446514418,50,70,M,0,0,B,20,1
790942522,43,48,F,1,0,H,30,1
429130684,49,31,M,0,0,B,20,0
470122183,36,69,M,0,0,B,20,0
602300803,38,54,M,0,0,B,20,1
786218829,39,69,M,0,0,H,30,0
865241340,62,66,M,1,1,A,10,1
361662044,32,78,M,0,1,E,20,0
600952821,45,24,M,0,0,E,20,0
474130896,49,47,M,1,0,F,20,0
042215269,51,39,F,0,0,F,20,0
591560712,50,55,M,1,0,B,20,1
564324166,58,66,F,1,0,E,20,0
775734309,48,49,M,1,1,C,10,1
742759006,40,60,M,1,0,A,10,1
828069127,41,36,F,1,0,F,20,0
224917224,52,45,F,1,0,F,20,0
661589494,32,52,F,1,0,F,20,0
441809666,34,47,F,0,0,B,20,0
080938610,46,57,M,1,0,G,30,0
207802762,47,61,M,1,0,B,20,1
301716554,47,55,M,1,0,G,30,1
548382471,31,43,M,0,0,B,20,0
988595138,62,65,M,1,1,E,20,1
132572157,57,18,M,1,0,B,20,0
973909547,56,23,F,1,0,E,20,1
015305737,,,,,,B,20,
680846205,58,46,F,1,1,C,10,1
111786800,49,24,F,1,0,F,20,1
356630665,63,55,M,1,0,B,20,0
336183787,46,29,M,1,0,B,20,0
432810161,41,58,F,0,0,C,10,1
920743189,54,50,M,1,0,B,20,1
376262612,36,63,F,0,0,B,20,1
878695178,40,53,F,1,0,G,30,0
355016682,38,61,M,0,1,E,20,1
647645879,45,24,F,1,1,G,30,0
521316417,53,64,F,0,1,F,20,0
236460103,37,63,M,0,1,F,20,0
665629365,57,40,F,1,0,G,30,0
837640906,52,28,M,1,0,B,20,0
141702207,45,46,F,0,0,E,20,1
463206428,48,48,M,0,0,H,30,0
644146104,27,43,F,1,1,C,10,0
106972399,51,40,F,0,0,E,20,0
245522854,53,52,M,1,0,C,10,0
628058321,33,75,F,0,1,E,20,1
815075418,32,50,F,0,0,G,30,0
061142212,,,,,,D,10,
215609629,43,72,M,1,1,F,20,1
021895762,41,75,M,1,1,E,20,1
547567712,49,37,F,1,0,C,10,0
166304526,52,56,F,0,1,E,20,1
991055590,58,30,F,1,1,B,20,1
890522058,44,55,F,1,0,D,10,1
022044272,33,61,M,0,0,B,20,1
244502136,44,21,F,1,0,B,20,0
303646241,58,72,M,1,0,F,20,0
464608310,37,69,F,0,0,H,30,0
620599674,41,36,M,1,1,D,10,1
823754209,43,28,M,1,0,B,20,0
323555673,57,71,M,0,0,B,20,0
212934194,38,62,M,0,1,G,30,1
790869150,47,38,F,1,0,G,30,0
704172311,47,49,F,1,0,E,20,1
792243870,38,28,F,0,1,E,20,1
832230174,50,55,F,1,1,A,10,1
578143988,55,32,M,1,0,D,10,1
398774476,46,44,M,1,0,F,20,0
105132124,29,49,M,0,0,C,10,0
360979842,41,43,M,1,0,F,20,1
030625197,38,53,M,0,0,A,10,0
836511966,54,49,F,1,0,F,20,1
866232647,50,46,F,1,0,F,20,0
546386914,65,34,F,1,1,B,20,1
534556284,56,52,M,1,1,C,10,1
833070436,45,51,F,1,0,G,30,1
214214940,42,53,M,1,0,B,20,0
313239716,44,30,F,1,1,F,20,1
012319403,44,45,M,1,0,E,20,1
071654868,45,58,M,1,0,G,30,0
846460245,31,20,F,0,1,D,10,0
826657159,33,46,M,0,0,B,20,0
566630963,38,30,M,0,0,D,10,0
779872843,19,65,F,0,0,B,20,0
684201871,28,59,M,1,1,B,20,1
527688590,45,45,F,1,1,B,20,1
829324951,51,81,F,1,1,H,30,1
525928252,34,67,M,0,0,A,10,1
795907393,44,29,F,0,0,B,20,0
165826140,39,56,F,0,0,E,20,0
100107557,42,19,F,1,0,E,20,0
491075633,61,35,M,1,0,B,20,0
176665389,54,57,F,1,1,F,20,1
772229438,30,18,M,0,1,D,10,0
130117855,43,33,F,0,0,A,10,1
497748817,44,50,M,1,0,F,20,1
484632499,,,,,,A,10,
568413105,56,45,F,1,0,E,20,0
222714770,34,57,M,0,1,E,20,1
352205344,27,23,F,1,0,D,10,0
893999731,48,54,M,1,0,G,30,1
572818741,45,63,M,1,1,F,20,1
352946784,37,33,M,0,0,C,10,0
641805340,54,60,F,1,0,G,30,1
312836462,49,21,M,1,0,A,10,0
307450577,37,25,F,1,0,F,20,0
822948670,22,69,F,1,0,G,30,0
360716012,53,45,M,1,0,B,20,0
067300149,34,70,F,0,0,F,20,1
693**8810,54,53,F,0,0,A,10,0
220803569,39,53,F,1,0,E,20,1
243668944,49,53,M,1,0,B,20,0
772179184,58,69,M,1,0,E,20,1
804620293,40,30,M,1,0,D,10,0
928536948,42,45,M,0,0,C,10,0
800185737,50,30,F,1,1,C,10,1
454257210,38,44,F,0,0,E,20,1
421791900,19,17,F,0,1,E,20,0
668058841,32,26,M,0,1,B,20,0
369629723,58,44,M,1,1,F,20,0
006432726,46,65,M,0,0,E,20,0
071166571,33,63,M,0,1,E,20,0
443982540,55,48,M,1,1,F,20,0
643319500,43,63,M,1,1,E,20,1
993904552,48,56,M,1,0,F,20,1
914210988,48,69,M,1,0,E,20,1
520161988,42,40,F,0,0,F,20,0
493835044,60,68,M,1,0,B,20,0
439634344,60,35,F,1,0,H,30,1
758401109,45,33,F,1,0,B,20,0
137041077,51,46,M,1,0,E,20,1
371154854,38,45,F,0,0,E,20,0
700617643,55,40,M,1,1,D,10,0
654494929,36,37,F,0,1,D,10,0
993061824,40,63,F,1,1,E,20,1
161367599,30,63,M,0,1,D,10,1
924933968,40,58,F,1,1,E,20,1
578348584,51,54,M,1,1,E,20,0
607976182,38,32,M,0,0,B,20,0
045922606,56,18,M,1,0,H,30,0
068411902,40,68,M,1,0,B,20,1
427428314,45,26,M,0,0,F,20,1
597821179,47,55,F,1,1,G,30,1
434015289,53,68,F,0,1,B,20,0
078692933,31,75,F,0,0,C,10,0
089590930,48,29,F,1,0,B,20,1
461203695,45,27,M,1,0,B,20,0
306116633,56,47,M,0,1,B,20,0
669184126,38,55,F,0,0,E,20,0
127756338,38,30,F,0,0,F,20,0
950049137,46,27,M,1,0,G,30,0
323820758,50,19,F,1,0,C,10,0
897242578,36,46,M,0,0,B,20,0
577939646,43,27,M,1,0,E,20,0
445410441,19,44,F,1,1,D,10,1
659903379,50,65,M,0,1,F,20,1
757043061,33,55,M,0,0,F,20,0
042733372,53,29,F,1,0,B,20,0
157373642,53,65,M,0,0,B,20,1
724248032,34,60,M,0,0,H,30,1
661274055,45,46,M,1,0,A,10,0
052948112,36,75,F,0,1,B,20,1
520053102,54,68,M,1,0,H,30,1
554686098,38,68,M,0,0,F,20,0
023454225,44,48,F,0,0,E,20,1
071303460,31,49,F,0,1,A,10,1
363298595,37,48,M,0,0,E,20,0
762416798,,,,,,F,20,
954401406,,,,,,H,30,
492669268,26,60,M,0,1,B,20,1
513933613,51,47,F,1,1,B,20,1
168177391,38,82,M,0,0,B,20,1
748653629,67,63,F,1,1,E,20,1
435195172,44,39,F,0,0,E,20,0
767070979,47,54,F,0,1,D,10,1
181496724,68,22,M,1,0,G,30,0
163652695,40,69,F,0,0,B,20,1
611656399,38,17,F,0,0,G,30,0
561460711,42,50,M,0,0,H,30,0
237654346,38,32,M,0,1,E,20,1
751937337,66,75,F,1,0,E,20,0
645301313,32,65,F,0,0,D,10,0
769890699,32,51,F,0,0,F,20,1
122513098,,,,,,B,20,
508492839,34,21,M,1,0,B,20,0
119677436,74,47,M,1,0,H,30,0
826579839,49,19,F,1,0,G,30,1
656057910,62,42,F,1,0,B,20,0
819013932,44,71,F,1,1,E,20,0
970536083,44,70,M,1,0,C,10,1
154345306,38,23,F,0,0,H,30,0
043459022,40,47,F,1,0,E,20,1
063293972,43,67,M,1,1,E,20,1
949415716,39,55,F,0,0,H,30,1
576997194,24,57,F,1,0,A,10,1
514107815,40,57,F,1,1,H,30,1
678941937,29,47,F,1,1,B,20,1
947061754,27,25,F,0,1,E,20,0
571359838,46,64,F,1,1,E,20,1
210606011,54,51,F,0,0,H,30,0
812410968,45,61,M,1,0,F,20,1
979396488,47,47,M,1,0,F,20,1
221125796,43,22,F,1,0,F,20,0
518969930,30,62,M,0,1,E,20,1
722953863,49,40,M,0,1,D,10,0
868344973,59,52,M,1,0,B,20,0
334**1880,65,32,F,1,0,A,10,0
822199629,38,64,M,1,1,F,20,1
852576466,33,30,M,0,0,B,20,0
532443338,54,68,F,1,1,G,30,1
070949685,57,57,M,1,1,F,20,0
955972406,37,33,F,0,0,C,10,0
417408486,46,55,M,1,0,F,20,1
800025091,57,54,M,1,0,H,30,0
997858727,65,56,F,0,0,B,20,0
045152445,57,37,M,1,0,B,20,0
217354865,47,56,F,1,0,B,20,1
168489094,26,16,M,1,0,D,10,0
479878676,42,60,M,1,1,E,20,1
996737376,40,47,M,1,1,E,20,1
191447503,31,19,M,0,0,E,20,0
933185634,47,23,F,1,1,F,20,1
442975260,51,27,F,1,1,E,20,1
969339942,43,59,M,1,1,C,10,1
617377466,45,67,F,0,1,G,30,1
341563172,54,47,F,1,0,B,20,0
170429418,40,38,M,1,0,B,20,1
253311724,51,58,F,1,0,B,20,0
362201697,40,61,F,1,0,E,20,1
899351299,55,68,M,1,0,E,20,0
204764134,52,67,M,1,1,F,20,0
467869760,39,37,M,0,0,D,10,0
771579004,29,23,F,0,1,G,30,0
739209805,37,36,M,0,0,F,20,0
809951855,47,36,F,0,0,B,20,0
749688152,53,58,M,1,1,E,20,1
726866439,46,29,M,1,1,F,20,0
269374161,59,52,F,0,0,B,20,1
868464710,49,51,M,1,0,B,20,0
279448090,37,51,F,0,1,A,10,0
390673962,71,52,M,1,1,E,20,1
889181075,42,59,M,0,1,E,20,1
954521265,47,30,F,1,0,F,20,0
057767206,42,53,M,1,0,H,30,1
342361741,56,63,F,1,1,H,30,1
298943729,42,76,F,1,1,D,10,1
241217085,54,41,M,1,1,B,20,0
875072999,39,58,F,0,1,H,30,0
495316867,44,43,F,0,0,E,20,0
907617766,,,,,,E,20,
922817720,38,38,F,1,0,D,10,1
191712270,45,55,F,1,0,A,10,1
296318646,41,78,M,1,0,A,10,1
839964887,32,33,F,0,0,B,20,0
335844275,66,31,F,1,0,E,20,0
229494166,57,29,M,1,0,B,20,0
928715909,25,58,M,0,0,E,20,0
815195213,43,23,M,1,0,E,20,0
107589232,47,45,M,1,0,E,20,0
497349654,,,,,,F,20,
243651470,44,76,M,1,0,A,10,1
840162368,48,51,F,1,0,F,20,1
860431457,46,55,F,0,0,F,20,0
063608116,33,35,M,0,0,E,20,0
723893408,56,42,M,0,0,C,10,0
298332994,42,34,F,1,0,E,20,1
338350890,28,56,M,0,0,C,10,0
088177734,25,31,F,0,0,C,10,0
705259895,42,68,M,0,0,E,20,0
586112324,59,19,F,0,1,D,10,0
110921700,25,54,F,0,0,F,20,0
170984198,53,58,M,1,1,C,10,0
388109770,52,31,M,1,0,E,20,0
393668459,37,38,F,0,0,E,20,0
605875195,47,22,F,1,0,F,20,1
216094553,44,52,F,1,0,F,20,0
318953435,65,51,F,1,1,F,20,1
064088900,57,50,M,1,1,B,20,1
097741106,39,54,M,0,0,H,30,0
537597490,57,44,F,1,0,B,20,0
616515965,36,24,F,0,0,H,30,0
110428287,42,67,F,1,0,F,20,1
188473592,54,24,F,0,1,E,20,0
136664391,48,53,M,1,0,G,30,0
411899108,40,63,M,1,1,E,20,1
296858141,33,50,F,0,0,H,30,0
178998570,48,51,M,1,0,H,30,1
889191091,26,52,M,0,0,G,30,0
152569500,41,73,F,1,0,D,10,1
370114520,59,29,F,1,1,F,20,1
357355071,62,63,M,1,1,G,30,0
032225009,47,44,F,1,0,E,20,1
727344066,56,61,F,1,0,E,20,0
307146225,19,19,F,1,0,B,20,0
659204578,39,49,M,0,0,H,30,0
356991311,45,57,F,1,0,E,20,1
256362110,38,53,F,0,1,H,30,1
052034466,47,31,F,1,0,B,20,0
578487039,50,21,F,1,1,C,10,1
311976626,35,41,F,0,1,B,20,1
600490167,56,60,F,0,1,H,30,1
466342612,49,64,M,1,1,E,20,1
840616052,44,72,M,0,1,F,20,1
019646709,35,36,M,0,1,C,10,0
843799969,58,30,F,1,1,E,20,0
289625877,44,68,F,1,1,F,20,1
353076008,49,53,M,1,0,B,20,1
800179334,,,,,,B,20,
110602567,41,51,F,1,0,G,30,1
439714674,42,35,F,1,1,F,20,1
489107904,36,49,F,0,0,B,20,0
405681282,57,41,M,1,1,C,10,0
013690621,52,29,M,1,0,F,20,0
081472470,36,59,M,0,1,E,20,0
396541769,34,73,M,0,0,E,20,1
622126666,38,49,M,0,0,C,10,0
100115636,62,19,F,0,1,F,20,0
392518831,41,16,F,0,0,C,10,0
460963616,45,53,M,1,0,G,30,0
260301808,34,77,M,0,0,E,20,0
137298181,51,47,F,1,0,E,20,0
403227531,57,51,F,1,0,B,20,0
817153227,42,31,M,0,0,A,10,0
683509939,42,56,M,1,1,F,20,1
637019677,32,39,M,0,0,D,10,0
665045107,36,30,M,0,0,B,20,0
434779596,52,36,F,1,0,B,20,0
985067096,47,34,F,1,1,A,10,0
910379740,31,37,F,0,0,C,10,0
179680432,41,49,F,1,0,H,30,0
074434735,41,19,F,1,0,D,10,0
633480991,,,,,,E,20,
631047740,48,67,M,1,0,B,20,1
493445603,45,56,M,1,0,G,30,1
939392539,44,20,M,1,0,G,30,0
010614963,46,27,F,1,1,F,20,0
569062051,36,49,M,0,0,B,20,0
883354273,32,63,M,0,1,H,30,1
358133865,47,55,F,1,0,G,30,1
904163385,39,40,F,0,0,F,20,0
857267170,59,56,M,1,0,D,10,1
663680768,34,24,F,0,1,F,20,0
946755771,56,50,F,1,0,E,20,0
745675311,45,31,M,1,0,E,20,1
844772766,58,17,F,1,1,D,10,0
205681904,21,43,M,0,1,F,20,0
197798582,41,24,M,1,0,F,20,0
529969949,44,43,M,1,0,E,20,1
090642621,37,45,F,0,1,A,10,1
802736360,63,47,M,1,0,H,30,0
590035951,46,45,M,0,0,E,20,0
218016665,48,56,M,1,1,F,20,1
949839935,30,24,M,0,0,D,10,0
791513138,53,20,M,1,0,G,30,1
695825608,18,19,F,0,0,E,20,0
033585392,39,26,M,0,0,F,20,0
123131776,59,56,F,0,0,F,20,0
030400132,63,50,M,1,0,E,20,0
514826101,37,18,F,0,0,G,30,0
542743292,55,68,M,1,0,E,20,1
561454965,34,42,F,0,1,D,10,0
689996456,49,58,F,1,0,B,20,0
832154336,47,37,F,1,0,G,30,1
206762380,41,59,F,0,1,F,20,1
649882836,64,26,M,1,0,H,30,0
076973833,34,35,F,0,0,B,20,0
229261674,38,62,M,0,1,E,20,1
253874330,28,50,M,0,0,F,20,0
233153414,54,39,M,0,0,C,10,0
717885429,34,52,M,1,0,B,20,0
498318514,32,39,M,1,0,C,10,0
408525082,33,23,F,0,1,H,30,0
311357437,43,56,M,1,1,G,30,1
419006588,,,,,,C,10,
626791808,46,62,M,1,1,E,20,1
312623435,28,25,F,0,1,G,30,0
683647970,55,36,F,1,0,F,20,0
437317239,38,61,F,0,1,F,20,1
257825643,57,38,M,1,0,A,10,0
010212635,62,40,M,1,1,H,30,1
580320022,39,57,F,0,0,H,30,1
397677036,40,35,M,1,1,F,20,0
819785959,36,55,M,0,1,F,20,0
652060783,39,51,M,0,0,H,30,0
974114523,31,61,F,1,1,C,10,1
180508491,42,69,M,1,0,F,20,1
547234048,48,27,M,1,0,B,20,0
331908164,33,52,M,0,0,G,30,0
080890319,41,21,F,1,1,F,20,0
779440571,46,38,F,1,0,D,10,0
613556822,53,22,M,1,0,G,30,0
369315615,60,57,M,1,1,F,20,0
723721325,48,38,F,1,0,F,20,0
605898509,56,60,M,1,1,A,10,0
778933877,28,22,M,0,0,G,30,0
318631162,44,42,F,1,1,E,20,1
385231516,46,53,M,1,0,E,20,0
010739342,45,60,M,1,1,F,20,1
988097443,41,62,M,1,1,E,20,1
841304759,41,43,M,1,1,C,10,1
865271635,54,41,F,1,0,F,20,1
902378706,36,55,M,0,1,E,20,1
670395832,41,61,M,1,1,F,20,1
864618347,50,32,M,1,0,A,10,1
848492977,49,53,M,1,0,C,10,1
890379438,44,58,M,1,1,E,20,1
455337525,54,29,F,1,1,F,20,0
359049897,48,21,F,1,0,H,30,1
285363926,36,56,F,0,0,B,20,1
769449145,38,54,F,0,0,H,30,1
701379508,46,68,M,1,1,E,20,1
858601827,44,73,M,1,0,A,10,0
937245668,45,53,F,1,0,C,10,0
054698704,42,67,F,1,0,H,30,1
391433914,49,59,M,0,0,H,30,1
410249727,44,19,F,1,0,C,10,0
842801034,45,64,F,1,1,F,20,1
443198974,52,58,M,1,0,F,20,1
108692644,52,52,F,1,0,B,20,0
691469401,45,21,F,1,1,G,30,1
362657569,54,47,M,0,0,D,10,0
889184367,58,41,F,0,0,F,20,0
895636708,46,56,F,1,0,H,30,0
607275615,32,63,M,0,1,A,10,0
129813906,30,51,M,0,0,B,20,0
254931537,46,67,F,1,1,G,30,1
230423438,59,68,M,1,1,F,20,1
546717385,24,52,M,0,0,A,10,0
104239064,35,78,M,0,1,F,20,1
488842526,38,44,F,0,0,B,20,1
714640028,45,41,F,1,0,F,20,0
111860940,52,20,M,1,0,B,20,0
838208636,32,61,M,0,0,F,20,0
053171641,37,52,M,1,1,A,10,0
748312120,70,53,M,1,0,G,30,0
940705573,48,58,M,1,1,F,20,1
251672544,47,36,F,1,1,E,20,1
223803048,44,38,M,1,1,F,20,1
880558314,50,75,M,0,1,E,20,1
005858270,59,31,F,1,0,B,20,0
383297882,38,71,M,0,0,B,20,0
842745809,39,58,M,0,1,E,20,1
194693952,57,60,M,1,0,D,10,1
001866714,45,74,F,0,1,E,20,1
849815354,40,44,M,1,0,F,20,1
357203994,44,39,F,1,0,E,20,0
860787177,58,36,F,1,0,B,20,0
230608202,42,64,F,1,0,B,20,0
014516287,46,28,F,1,1,F,20,1
018538669,18,63,F,1,0,F,20,1
223881610,47,60,M,1,1,E,20,1
253086032,42,72,M,0,1,B,20,1
514225212,33,71,F,1,1,E,20,1
728123743,19,66,F,1,0,A,10,0
252362670,50,16,F,1,0,B,20,0
906391100,18,52,F,0,0,A,10,0
177559105,51,65,M,1,1,E,20,1
070822687,45,32,F,1,0,F,20,0
508246213,49,59,F,0,0,C,10,1
265718469,41,68,F,1,0,B,20,1
299985642,45,18,M,0,1,G,30,1
981170673,68,69,M,1,0,F,20,0
819752229,27,69,M,0,0,E,20,0
734768293,52,19,F,1,0,H,30,0
219847235,52,43,M,0,0,B,20,0
446946655,70,45,M,0,1,B,20,0
985452633,40,55,F,1,0,B,20,0
141924207,22,23,F,0,0,B,20,0
552185165,46,65,M,1,1,F,20,1
439645276,48,43,M,0,0,F,20,1
042391432,50,38,F,1,0,B,20,0
201955326,72,44,M,1,1,C,10,0
340962947,44,40,F,1,0,F,20,1
579064091,48,70,M,1,0,E,20,1
016290662,32,56,F,1,0,B,20,1
462110575,42,48,M,1,0,E,20,0
411791544,48,79,F,1,1,E,20,1
586874667,54,25,M,1,0,D,10,0
020622097,63,31,F,1,0,E,20,1
947768177,60,39,F,1,1,F,20,1
541614125,57,67,M,1,1,F,20,0
188112981,41,54,M,0,0,E,20,1
645782586,41,42,M,1,0,B,20,0
638448107,,,,,,B,20,
380877818,42,43,F,1,1,B,20,1
843410964,31,60,F,1,0,C,10,0
1E3877353,71,69,F,1,1,E,20,1
951620158,49,71,M,0,0,A,10,0
880476477,53,30,F,1,0,G,30,0
348884592,47,87,M,1,0,G,30,0
171984441,,,,,,A,10,
837259260,46,58,M,0,0,B,20,0
345952799,43,19,F,1,1,B,20,1
358944815,39,52,M,0,0,G,30,0
085008209,26,32,F,1,1,F,20,1
656769417,46,44,M,1,0,F,20,1
316025577,44,43,M,1,0,F,20,0
544374913,38,26,F,1,0,F,20,1
532043997,47,32,F,1,0,H,30,1
881345749,21,51,M,0,0,F,20,0
880894047,55,62,F,1,1,E,20,1
607377653,48,19,F,1,1,B,20,1
608172779,44,24,F,1,1,G,30,1
090102921,54,75,M,0,0,B,20,0
269068382,32,23,F,0,0,D,10,0
322585221,50,76,M,1,0,B,20,1
049187534,38,75,M,0,1,E,20,1
672483455,46,65,M,1,1,F,20,1
377642172,30,49,M,0,0,F,20,1
256610977,39,71,M,0,0,E,20,0
667991627,48,39,M,1,0,G,30,1
395181709,53,54,M,1,0,G,30,0
413318542,28,58,M,0,0,E,20,0
380546749,54,68,M,1,1,E,20,1
674684920,41,51,F,1,0,B,20,1
742844922,46,62,M,1,1,F,20,1
733880251,40,46,M,1,0,F,20,0
626199144,43,63,M,1,0,G,30,1
001446031,45,55,M,1,0,B,20,1
898705310,39,78,M,0,1,E,20,1
602510343,45,16,F,1,0,H,30,0
974952203,54,59,M,1,0,G,30,1
811550108,51,28,F,1,0,C,10,0
854973175,40,19,F,1,1,D,10,0
050378392,47,63,M,1,1,F,20,1
742131821,38,76,M,0,0,A,10,1
786217792,42,17,F,0,1,D,10,0
663874313,45,35,M,0,0,F,20,0
332808458,42,27,F,1,1,F,20,0
758254287,42,52,F,1,0,F,20,1
557669327,45,29,M,1,0,D,10,0
770258954,47,69,M,1,1,F,20,1
701575592,36,25,F,0,1,F,20,0
495371168,28,39,M,0,1,F,20,1
187654701,26,69,M,0,0,E,20,0
153129401,50,60,F,1,1,E,20,1
663868290,45,65,F,1,1,F,20,1
331699870,41,24,F,1,1,F,20,0
252462997,40,67,M,1,0,B,20,0
001641733,47,65,M,0,1,F,20,1
513910377,43,19,F,0,0,F,20,0
112546534,47,28,F,1,1,H,30,1
900863849,53,62,M,1,1,G,30,1
636564833,38,25,F,0,0,F,20,0
646104966,49,33,F,1,1,C,10,1
327917141,44,37,F,1,0,F,20,0
909930920,40,23,M,1,0,H,30,1
709865151,41,34,M,1,1,E,20,0
713422759,21,42,F,1,0,C,10,1
444400047,53,34,F,0,0,E,20,1
360933170,53,35,M,1,0,C,10,0
562578813,39,44,M,0,0,F,20,0
434086106,40,67,M,1,0,B,20,1
208369991,34,56,M,0,0,H,30,0
760738180,30,16,M,0,0,G,30,0
228666290,31,40,M,1,0,B,20,0
927926577,63,53,F,1,0,C,10,1
364351257,56,29,M,1,0,F,20,0
691934053,47,74,M,0,0,B,20,0
714035420,56,25,F,0,1,F,20,0
211126474,44,52,F,1,1,G,30,1
809395523,43,25,F,0,0,F,20,0
215548541,52,49,M,1,0,E,20,0
366680262,55,61,F,0,1,F,20,0
348090830,49,44,M,1,0,E,20,1
076938624,45,33,F,1,0,A,10,0
646860149,43,61,F,0,1,E,20,0
472295142,52,23,F,1,0,A,10,0
755473833,50,18,M,1,0,F,20,0
421800005,43,54,M,0,0,A,10,0
252246253,,,,,,F,20,
018807639,32,58,F,0,1,E,20,0
638354221,50,44,F,0,1,B,20,0
457369952,53,55,M,1,0,B,20,1
672786450,52,54,M,1,0,G,30,0
474923149,42,52,M,1,0,G,30,1
936335582,26,48,M,1,0,B,20,0
