Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,UPB>Appraisal,median income ($),% of people in poverty,LoanValuetoAppraised
37,214400,80,625,Y,1111,2323,150000,149204,0.478261,Default,default,GA,1,43217,12,1.429333333
45,110800,80,644,N,924,1950,120000,120000,0.473846,Default,default,GA,0,43217,12,0.923333333
37,65223,90,653,N,4822,7630,296000,289000,0.631979,Default,default,CO,0,51022,9.8,0.220347973
33,192850,102,660,N,740,2366,45000,45000,0.312764,Default,default,MO,1,43988,10.9,4.285555556
26,79750,100,675,N,1077,5500,148000,142580,0.195818,Default,default,AZ,0,42590,13.8,0.538851351
31,263700,100,733,N,1534,3116,102000,101750,0.492298,Default,default,GA,1,43217,12,2.585294118
29,73600,95,714,N,3121,6279,390000,390000,0.497054,Default,default,NY,0,44228,14.4,0.188717949
37,92000,100,649,Y,1303,3419,111000,110000,0.381106,Default,default,IL,0,45787,12.5,0.828828829
30,178000,100,680,N,1188,4167,125000,125000,0.285097,Default,default,MD,1,56763,8.6,1.424
30,171000,90,665,N,818,4600,107000,106500,0.177826,Default,default,WI,1,47220,10.2,1.598130841
55,77400,95,692,N,1613,3521,139000,137554,0.458108,Default,default,GA,0,43217,12,0.556834532
31,154850,97,637,N,2828,5142,160000,159433,0.549981,Default,default,AZ,0,42590,13.8,0.9678125
35,265000,80,575,Y,1064,1748,165000,161221,0.608696,Default,default,NC,1,39000,14.8,1.606060606
54,270000,90,687,N,3529,10342,202000,197000,0.34123,Default,default,IL,1,45787,12.5,1.336633663
45,255000,90,706,N,1838,11000,330000,330000,0.167091,Default,default,CA,0,49894,13.2,0.772727273
32,153685,100,584,N,2324,5625,160000,146500,0.413156,Default,default,KY,0,37396,15.4,0.96053125
27,243200,80,693,N,721,2080,55000,53000,0.346635,Default,default,TN,1,38550,14.9,4.421818182
62,87100,80,680,N,1564,10000,220000,220000,0.1564,Default,default,WA,0,48688,11.7,0.395909091
32,148675,95,593,Y,1171,2854,159500,155000,0.410301,Default,default,MO,0,43988,10.9,0.932131661
51,134910,90,704,N,901,3750,124000,121725,0.240267,Default,default,TX,1,41275,16.4,1.087983871
37,87500,100,662,N,1570,5850,183000,182500,0.268376,Default,default,NJ,0,56772,8.2,0.478142077
62,127500,100,543,Y,1177,2812,105000,101246,0.418563,Default,default,GA,1,43217,12,1.214285714
37,180400,100,649,N,289,5265,40000,40000,0.054891,Default,default,IN,1,43003,10.2,4.51
50,28500,95,633,Y,1278,3241,106000,102500,0.394323,Default,default,AZ,0,42590,13.8,0.268867925
50,140000,100,686,N,1099,2730,127000,126000,0.402564,Default,default,MI,1,44476,12.1,1.102362205
32,281330,95,645,N,1381,4417,172000,172000,0.312656,Default,default,IN,1,43003,10.2,1.635639535
28,166250,95,658,N,2322,5025,171000,170622,0.462119,Default,default,FL,0,40171,12.3,0.972222222
28,237800,88,616,Y,2359,3651,215000,215000,0.646124,Default,default,IL,1,45787,12.5,1.106046512
31,145550,90,533,Y,1005,2302,130000,123300,0.436577,Default,default,GA,1,43217,12,1.119615385
40,161550,97,562,Y,808,1510,119500,116900,0.535099,Default,default,IN,1,43003,10.2,1.351882845
37,122250,80,753,N,1404,3115,156000,150800,0.450722,Default,default,MI,0,44476,12.1,0.783653846
72,72750,97,689,Y,2876,7291,183000,178900,0.394459,Default,default,KS,0,43725,10.7,0.397540984
43,118750,95,594,N,634,2164,88500,88500,0.292976,Default,default,VA,1,53275,9.8,1.34180791
30,122815,102,544,Y,1011,3321,145000,145000,0.304426,Default,default,GA,0,43217,12,0.847
43,130500,90,695,N,645,3500,82500,82000,0.184286,Default,default,MO,1,43988,10.9,1.581818182
49,224900,90,660,Y,736,1733,111000,92135,0.424697,Default,default,SC,1,39326,14,2.026126126
31,204000,80,670,N,1381,3800,150000,149900,0.363421,Default,default,OH,1,44160,10.8,1.36
54,166646.97,98,657,N,1128,5025,161000,161000,0.224492,Default,default,FL,1,40171,12.3,1.035074348
27,237900,95,555,Y,1234,1950,105000,102000,0.632821,Default,default,AL,1,38111,15.5,2.265714286
27,160330,95,563,N,598,2894,98000,97292,0.206634,Default,default,GA,1,43217,12,1.636020408
35,109250,95,692,N,1622,5000,189900,189900,0.3244,Default,default,NC,0,39000,14.8,0.575302791
42,79800,95,689,N,735,4203,99000,94500,0.174875,Default,default,IA,0,43042,9.7,0.806060606
41,237100,94,660,Y,569,1396,56551,56551,0.407593,Default,default,TN,1,38550,14.9,4.192675638
37,75351,100,723,N,1557,5025,221000,221000,0.30987,Default,default,NY,0,44228,14.4,0.340954751
35,169505,102,677,N,1542,3500,145000,142390,0.440571,Default,default,TX,1,41275,16.4,1.169
50,199500,95,585,Y,1389,2375,119000,118500,0.584842,Default,default,IN,1,43003,10.2,1.676470588
33,76332,95,563,N,1164,3163,119900,119900,0.368005,Default,default,IL,0,45787,12.5,0.636630525
34,168500,100,707,N,1486,3409,120000,115000,0.435905,Default,default,CO,1,51022,9.8,1.404166667
35,179000,100,541,N,1213,2719,103000,103000,0.44612,Default,default,NC,1,39000,14.8,1.737864078
32,253000,99,662,Y,870,3517,118000,118000,0.24737,Default,default,NC,1,39000,14.8,2.144067797
37,400000,80,738,Y,974,2513,108000,102700,0.387585,Default,default,WI,1,47220,10.2,3.703703704
25,103896,90,652,Y,1551,2597,135000,133900,0.597228,Default,default,FL,0,40171,12.3,0.7696
47,233750,95,629,N,886,2166,90000,85000,0.409049,Default,default,AL,1,38111,15.5,2.597222222
37,234000,90,587,N,1402,2512,130000,129038,0.558121,Default,default,GA,1,43217,12,1.8
37,240000,70,741,N,579,5025,68700,68700,0.115231,Default,default,ID,1,42519,10.5,3.493449782
37,94500,95,750,Y,1860,5749,255000,253000,0.323535,Default,default,GA,0,43217,12,0.370588235
46,186000,100,704,N,1086,4200,135000,135000,0.258571,Default,default,IN,1,43003,10.2,1.377777778
51,115950,100,670,N,1646,5860,230000,228000,0.280887,Default,default,TX,0,41275,16.4,0.504130435
30,241000,100,579,Y,1371,3431,135000,126900,0.399592,Default,default,GA,1,43217,12,1.785185185
37,154850,95,543,N,2265,3717,225000,203000,0.609362,Default,default,TX,0,41275,16.4,0.688222222
27,108000,80,615,Y,3041,18000,127000,122000,0.168944,Default,default,TX,0,41275,16.4,0.850393701
29,170490,100,662,N,1261,3334,139000,138600,0.378224,Default,default,WI,1,47220,10.2,1.226546763
37,225000,100,540,N,1431,3118,115500,109290,0.458948,Default,default,TX,1,41275,16.4,1.948051948
37,119150,80,572,N,704,1083,50000,50000,0.650046,Default,default,TN,1,38550,14.9,2.383
23,310700,98,670,N,2545,5025,390000,390000,0.5065,Default,default,NY,0,44228,14.4,0.796666667
42,168150,95,660,N,1080,3809,140000,140000,0.283539,Default,default,MI,1,44476,12.1,1.201071429
43,234300,90,694,N,694,3120,93000,92900,0.222436,Default,default,FL,1,40171,12.3,2.519354839
28,86400,80,728,N,0,4300,160000,160000,0,Default,default,IL,0,45787,12.5,0.54
39,76000,70,723,N,1309,4641,188000,76000,0.282051,Default,default,CO,0,51022,9.8,0.404255319
37,242550,90,518,Y,1190,2487,120000,118000,0.478488,Default,default,GA,1,43217,12,2.02125
37,86400,80,599,Y,1886,5000,177000,176200,0.3772,Default,default,GA,0,43217,12,0.488135593
37,87300,90,720,N,2325,9611,230000,220000,0.24191,Default,default,DC,0,43573,16.8,0.379565217
23,152314,95,692,N,1706,3521,140000,137020,0.484521,Default,default,GA,1,43217,12,1.087957143
29,312550,95,616,N,1287,4062,190000,177000,0.316839,Default,default,MD,1,56763,8.6,1.645
30,154000,100,741,N,1276,4650,140000,139050,0.274409,Default,default,PA,1,44286,10.4,1.1
26,212000,100,636,N,1291,2667,162000,161000,0.484064,Default,default,IL,1,45787,12.5,1.308641975
39,137900,93,696,Y,1793,4202,236000,232000,0.426702,Default,default,IL,0,45787,12.5,0.584322034
28,315000,90,692,N,0,5025,270000,270000,0,Default,default,NY,1,44228,14.4,1.166666667
37,124000,87,626,N,1408,4000,143000,140000,0.352,Default,default,GA,0,43217,12,0.867132867
30,125100,97,672,N,1424,3939,170000,125100,0.361513,Default,default,CO,0,51022,9.8,0.735882353
54,295000,66,587,N,496,1472,69000,65000,0.336957,Default,default,AL,1,38111,15.5,4.275362319
37,170000,100,682,N,2875,5025,325000,325000,0.572175,Default,default,CA,0,49894,13.2,0.523076923
33,277500,89,519,Y,1116,2544,83000,82500,0.438679,Default,default,MO,1,43988,10.9,3.343373494
37,126350,95,669,N,965,4633,124500,121000,0.208288,Default,default,OH,1,44160,10.8,1.014859438
37,322700,92,663,N,0,5025,33000,33000,0,Default,default,OH,1,44160,10.8,9.778787879
37,133878,102,558,Y,2010,2774,133000,133000,0.724585,Default,default,TX,1,41275,16.4,1.006601504
38,198000,100,775,N,1283,3100,160000,150000,0.413871,Default,default,GA,1,43217,12,1.2375
69,140000,85,706,N,927,6500,103000,99990,0.142615,Default,default,TX,1,41275,16.4,1.359223301
27,139250,98,692,N,1864,5618,151500,151192,0.331791,Default,default,GA,0,43217,12,0.919141914
37,111900,80,728,Y,1117,3473,112000,110500,0.321624,Default,default,GA,0,43217,12,0.999107143
50,162000,100,579,N,1592,6156,187000,165980,0.258609,Default,default,GA,0,43217,12,0.86631016
44,72000,100,560,N,1379,3053,137000,135000,0.451687,Default,default,GA,0,43217,12,0.525547445
30,86810,97,672,N,1775,5169,224000,220000,0.343393,Default,default,TX,0,41275,16.4,0.387544643
25,76000,95,539,Y,0,5025,160000,160000,0,Default,default,FL,0,40171,12.3,0.475
37,314972,100,570,N,1395,5025,180000,174500,0.277629,Default,default,GA,1,43217,12,1.749844444
22,291000,97,717,N,1728,3070,122000,121117,0.562866,Default,default,GA,1,43217,12,2.385245902
24,154000,100,691,N,3887,7067,375000,375000,0.550021,Default,default,NY,0,44228,14.4,0.410666667
37,165000,100,613,Y,987,2662,81000,81000,0.370774,Default,default,MI,1,44476,12.1,2.037037037
23,111548,102,736,Y,2427,4987,210000,210000,0.486665,Default,default,CA,0,49894,13.2,0.531180952
37,180000,77,552,Y,1832,2936,68000,66000,0.623978,Default,default,IN,1,43003,10.2,2.647058824
27,96820,100,688,N,1828,3600,163000,162354,0.507778,Default,default,NV,0,46984,10.2,0.59398773
31,164000,98,716,N,902,3800,122000,120000,0.237368,Default,default,PA,1,44286,10.4,1.344262295
30,248000,80,755,N,1268,3200,68000,68000,0.39625,Default,default,OH,1,44160,10.8,3.647058824
24,137000,100,685,N,968,5500,115000,115000,0.176,Default,default,CA,1,49894,13.2,1.191304348
37,280000,100,662,N,896,3062,63000,62000,0.292619,Default,default,MD,1,56763,8.6,4.444444444
37,102550,100,616,N,2653,7034,285000,285000,0.377168,Default,default,IL,0,45787,12.5,0.359824561
25,150000,90,692,Y,1857,5141,170000,168133,0.361214,Default,default,GA,0,43217,12,0.882352941
48,264000,80,675,N,1820,5025,229000,222500,0.362212,Default,default,MA,1,52354,9.8,1.152838428
32,111285,90,745,N,1995,4514,84000,82500,0.441958,Default,default,VA,1,53275,9.8,1.324821429
33,352000,80,610,Y,784,1892,99000,98390,0.414376,Default,default,GA,1,43217,12,3.555555556
31,202450,100,755,N,585,1773,70001,70001,0.329949,Default,default,FL,1,40171,12.3,2.892101541
37,135000,80,583,N,2952,9312,277000,276899,0.31701,Default,default,GA,0,43217,12,0.487364621
33,117190,99,663,N,0,3500,225000,117190,0,Default,default,MS,0,33659,17.7,0.520844444
27,62750,97,663,N,2067,5500,211000,211000,0.375818,Default,default,NJ,0,56772,8.2,0.297393365
49,228000,95,663,N,1038,3108,50000,42400,0.333977,Default,default,MI,1,44476,12.1,4.56
46,165200,80,639,Y,0,5025,475000,475000,0,Default,default,NY,0,44228,14.4,0.347789474
22,72750,97,582,Y,2310,6338,143500,143205,0.364468,Default,default,NC,0,39000,14.8,0.506968641
51,84550,95,571,Y,1051,5873,162000,161900,0.178955,Default,default,TX,0,41275,16.4,0.52191358
33,156680,80,746,N,1783,3107,215000,215000,0.573865,Default,default,MN,0,55914,7,0.728744186
37,115650,90,548,Y,1130,2816,107000,90000,0.401278,Default,default,MI,1,44476,12.1,1.080841121
39,168750,75,633,N,3922,12000,196000,190000,0.326833,Default,default,TX,0,41275,16.4,0.860969388
37,65000,50,672,N,1650,8516,226000,65000,0.193753,Default,default,TX,0,41275,16.4,0.287610619
42,24625,99,732,N,2051,6850,255000,255000,0.299416,Default,default,TX,0,41275,16.4,0.096568627
47,101150,91,603,N,2308,6290,142000,141375,0.366932,Default,default,IN,0,43003,10.2,0.712323944
29,181000,100,723,N,1139,3359,141000,138000,0.339089,Default,default,IL,1,45787,12.5,1.283687943
48,112500,90,659,N,1641,4636,152000,152000,0.353969,Default,default,PA,0,44286,10.4,0.740131579
44,233000,100,713,N,948,5025,113000,113000,0.188669,Default,default,AZ,1,42590,13.8,2.061946903
37,177900,100,545,Y,851,2080,91000,88500,0.409135,Default,default,WI,1,47220,10.2,1.954945055
30,131000,100,700,N,1520,3442,113000,110000,0.441604,Default,default,MI,1,44476,12.1,1.159292035
37,272550,97,576,Y,1017,2381,114000,110000,0.427131,Default,default,DC,1,43573,16.8,2.390789474
37,204250,95,639,Y,629,1548,54500,54500,0.406331,Default,default,TX,1,41275,16.4,3.747706422
41,158650,95,782,N,1758,4189,190000,184500,0.419671,Default,default,WA,0,48688,11.7,0.835
32,101918,100,695,N,6300,7840,265000,239900,0.803571,Default,default,NJ,0,56772,8.2,0.384596226
37,181250,100,677,N,1012,5073,115000,115000,0.199487,Default,default,MO,1,43988,10.9,1.576086957
40,204000,87,671,N,1551,2655,131000,130990,0.584181,Default,default,GA,1,43217,12,1.557251908
36,96400,95,678,N,1643,6200,169500,160100,0.265,Default,default,TX,0,41275,16.4,0.568731563
34,185150,100,588,Y,1795,5000,102000,102000,0.359,Default,default,TX,1,41275,16.4,1.815196078
30,52500,100,733,Y,2019,5255,177000,172712,0.384206,Default,default,TX,0,41275,16.4,0.296610169
34,138000,100,563,N,899,4824,88000,86500,0.18636,Default,default,IL,1,45787,12.5,1.568181818
37,90099,100,734,N,1332,4113,190000,190000,0.323851,Default,default,WV,0,32589,16.1,0.474205263
31,98455,102,749,N,794,3000,108000,108000,0.264667,Default,default,OH,0,44160,10.8,0.91162037
18,156750,95,760,N,947,4200,111000,111000,0.225476,Default,default,NC,1,39000,14.8,1.412162162
33,137000,100,624,N,1958,5625,124000,122500,0.348089,Default,default,IL,1,45787,12.5,1.10483871
33,80655,95,654,N,1380,3747,77000,77000,0.368295,Default,default,MI,1,44476,12.1,1.047467532
55,116725,102,663,N,886,5500,86000,86000,0.161091,Default,default,TX,1,41275,16.4,1.357267442
34,276000,100,697,N,1883,3650,135000,133900,0.51589,Default,default,TX,1,41275,16.4,2.044444444
38,144950,100,689,N,1306,6500,175000,163770,0.200923,Default,default,TN,0,38550,14.9,0.828285714
37,110000,100,705,N,1487,4500,210000,210000,0.330444,Default,default,AZ,0,42590,13.8,0.523809524
52,322700,100,580,Y,1261,3055,138000,137000,0.412766,Default,default,MI,1,44476,12.1,2.338405797
21,174850,97,721,N,860,4500,105000,105000,0.191111,Default,default,NC,1,39000,14.8,1.665238095
45,280250,95,647,N,318,1126,35000,31500,0.282416,Default,default,AL,1,38111,15.5,8.007142857
38,54000,90,710,N,1180,4966,187524,54000,0.237616,Default,default,WI,0,47220,10.2,0.287963141
38,275000,84,617,N,872,1625,73000,71900,0.536615,Default,default,TN,1,38550,14.9,3.767123288
50,290000,72,702,N,17225,5025,140000,140000,3.428077,Default,default,NJ,1,56772,8.2,2.071428571
35,147000,90,663,N,0,1863,49500,49500,0,Default,default,TX,1,41275,16.4,2.96969697
51,171000,90,705,N,2789,5025,132000,131137,0.55506,Default,default,AZ,1,42590,13.8,1.295454545
40,166350,97,689,N,0,3900,122500,122500,0,Default,default,AZ,1,42590,13.8,1.357959184
38,125600,80,651,N,1576,3612,235000,235000,0.436323,Default,default,GA,0,43217,12,0.534468085
29,309800,95,798,N,1224,3702,209000,208206,0.330632,Default,default,MD,1,56763,8.6,1.482296651
37,130500,90,624,N,864,5025,135000,130500,0.171951,Default,default,WV,0,32589,16.1,0.966666667
37,120900,100,578,N,3784,6674,200000,198000,0.566976,Default,default,SC,0,39326,14,0.6045
44,310175,95,660,N,0,5025,674500,674500,0,Default,default,NY,0,44228,14.4,0.459859155
36,275000,100,620,N,1276,1907,98000,94000,0.669114,Default,default,KS,1,43725,10.7,2.806122449
24,136435,100,660,N,1589,5569,220000,185000,0.28533,Default,default,MN,0,55914,7,0.620159091
27,182350,100,680,N,624,3113,80000,75000,0.20045,Default,default,KY,1,37396,15.4,2.279375
39,199000,100,523,Y,678,2107,72000,71900,0.321785,Default,default,VA,1,53275,9.8,2.763888889
30,176300,100,641,N,1749,3563,136000,135100,0.490878,Default,default,GA,1,43217,12,1.296323529
33,148500,90,631,N,5159,13214,340000,337000,0.390419,Default,default,AL,0,38111,15.5,0.436764706
30,136385,100,716,N,1967,4600,225000,225000,0.427609,Default,default,UT,0,50614,9.6,0.606155556
37,172350,97,633,Y,2125,3833,130000,129600,0.554396,Default,default,GA,1,43217,12,1.325769231
32,352000,80,570,N,2158,13706,210000,210000,0.157449,Default,default,IL,1,45787,12.5,1.676190476
33,123675,97,696,N,889,3800,105000,105000,0.233947,Default,default,NC,1,39000,14.8,1.177857143
30,107920,80,688,N,738,4800,72000,69000,0.15375,Default,default,TX,1,41275,16.4,1.498888889
49,93050,100,692,N,1013,7100,120000,111000,0.142676,Default,default,WI,0,47220,10.2,0.775416667
37,245000,75,612,N,1013,2088,139000,138453,0.485153,Default,default,GA,1,43217,12,1.762589928
30,33950,97,620,N,3829,8349,310000,305000,0.458618,Default,default,AZ,0,42590,13.8,0.109516129
41,249900,100,668,Y,832,3433,77000,77000,0.242354,Default,default,IL,1,45787,12.5,3.245454545
44,156000,100,758,Y,1231,2000,104000,105000,0.6155,Default,default,VA,1,53275,9.8,1.5
48,62220,95,782,N,1622,4944,160000,158365,0.328074,Default,default,NC,0,39000,14.8,0.388875
50,296700,95,523,Y,623,1658,75000,75000,0.375754,Default,default,OH,1,44160,10.8,3.956
34,104545,102,675,N,2673,6333,168000,163904,0.422075,Default,default,FL,0,40171,12.3,0.622291667
37,88000,95,682,N,1361,6200,150330,150330,0.219516,Default,default,SC,0,39326,14,0.585378833
51,181300,90,658,N,1163,2687,131000,130100,0.432825,Default,default,TN,1,38550,14.9,1.383969466
37,160000,80,602,Y,1120,2322,100000,99400,0.482343,Default,default,FL,1,40171,12.3,1.6
33,80550,90,656,N,1315,4402,96000,96000,0.298728,Default,default,IN,0,43003,10.2,0.8390625
37,232750,95,670,N,814,2950,120000,120000,0.275932,Default,default,PA,1,44286,10.4,1.939583333
37,300000,74,609,N,1978,8688,290000,283900,0.22767,Default,default,UT,1,50614,9.6,1.034482759
25,51775,93,704,N,2751,7762,295000,295000,0.354419,Default,default,NJ,0,56772,8.2,0.175508475
25,175050,90,538,Y,901,1820,124000,122350,0.495055,Default,default,GA,1,43217,12,1.411693548
42,224401,90,624,N,1348,5025,150000,150000,0.268276,Default,default,MI,1,44476,12.1,1.496006667
37,69000,100,524,N,1743,5344,133000,133000,0.32616,Default,default,FL,0,40171,12.3,0.518796992
47,300000,100,624,N,0,5025,140000,140000,0,Default,default,CT,1,55970,8.8,2.142857143
22,175000,100,689,N,755,4000,90000,86900,0.18875,Default,default,TX,1,41275,16.4,1.944444444
26,180000,100,590,Y,1001,4968,135000,135000,0.20149,Default,default,GA,1,43217,12,1.333333333
53,152000,95,704,N,1331,2990,45000,42000,0.445151,Default,default,IN,1,43003,10.2,3.377777778
37,198000,100,559,Y,1731,3979,129000,126500,0.435034,Default,default,GA,1,43217,12,1.534883721
28,108000,100,606,Y,2047,4579,155000,155000,0.447041,Default,default,IL,0,45787,12.5,0.696774194
37,195000,100,660,N,616,2530,83000,73700,0.243478,Default,default,NC,1,39000,14.8,2.34939759
30,60900,97,673,N,1320,15000,145000,145000,0.088,Default,default,VA,0,53275,9.8,0.42
29,220000,80,670,N,1515,15828,196000,196000,0.095716,Default,default,OH,1,44160,10.8,1.12244898
44,54500,100,661,N,1084,5200,155000,54500,0.208462,Default,default,NM,0,37587,17.5,0.351612903
50,91900,100,737,Y,1421,4460,96000,93000,0.31861,Default,default,IN,0,43003,10.2,0.957291667
36,130800,100,750,N,1087,3813,85000,85000,0.285077,Default,default,MS,1,33659,17.7,1.538823529
26,143750,95,634,N,1118,2889,101500,94100,0.386985,Default,default,OH,1,44160,10.8,1.416256158
61,260000,75,664,N,1883,3424,90000,87500,0.549942,Default,default,TX,1,41275,16.4,2.888888889
60,115500,90,746,N,1134,4538,111000,111000,0.24989,Default,default,MO,1,43988,10.9,1.040540541
34,122510,87,598,Y,1390,3090,92500,92400,0.449838,Default,default,SC,1,39326,14,1.324432432
40,318750,75,698,N,1090,12000,141000,141000,0.090833,Default,default,NC,1,39000,14.8,2.260638298
23,144000,80,698,N,0,4300,80000,80000,0,Default,default,TX,1,41275,16.4,1.8
27,97500,100,666,N,1936,7000,269000,265000,0.276571,Default,default,NJ,0,56772,8.2,0.362453532
37,210000,89,654,N,1248,3134,123000,118790,0.398213,Default,default,TX,1,41275,16.4,1.707317073
35,236500,100,700,N,618,3757,78500,78500,0.164493,Default,default,WV,1,32589,16.1,3.012738854
23,90000,100,648,N,1181,4683,77000,77000,0.252189,Default,default,IA,1,43042,9.7,1.168831169
45,301500,90,608,N,684,2760,86000,85000,0.247826,Default,default,MO,1,43988,10.9,3.505813953
37,180500,95,609,N,2117,5228,202000,199969,0.404935,Default,default,IN,0,43003,10.2,0.893564356
28,160000,100,681,N,1190,2857,73500,73500,0.416521,Default,default,NC,1,39000,14.8,2.176870748
37,91200,80,597,Y,3317,9552,305000,303000,0.347257,Default,default,TN,0,38550,14.9,0.299016393
42,85260,102,687,N,1807,5481,82000,80350,0.329684,Default,default,OH,1,44160,10.8,1.039756098
29,100400,99,683,N,1899,7300,236000,225000,0.260137,Default,default,CO,0,51022,9.8,0.425423729
24,141250,88,690,N,1250,6000,195000,141250,0.208333,Default,default,WA,0,48688,11.7,0.724358974
21,101500,97,624,Y,1072,4412,116000,116000,0.242974,Default,default,LA,0,35523,17,0.875
27,131865,100,662,N,1225,5000,173000,131865,0.245,Default,default,UT,0,50614,9.6,0.762225434
